Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.08553135907152176
75% Corpus,2,0.01,0.31,0.10993970282496135
75% Corpus,2,0.01,0.61,0.09468986236121507
75% Corpus,2,0.01,0.9099999999999999,0.08292753027900392
75% Corpus,2,0.01,symmetric,0.09660233896012255
75% Corpus,2,0.31,0.01,0.06435884052339416
75% Corpus,2,0.31,0.31,0.07187009094348032
75% Corpus,2,0.31,0.61,0.07395266090964188
75% Corpus,2,0.31,0.9099999999999999,0.06432764386033961
75% Corpus,2,0.31,symmetric,0.06977580860483043
75% Corpus,2,0.61,0.01,0.06043007257768168
75% Corpus,2,0.61,0.31,0.06370629854319772
75% Corpus,2,0.61,0.61,0.06481777779947277
75% Corpus,2,0.61,0.9099999999999999,0.06915046571410852
75% Corpus,2,0.61,symmetric,0.06849540470855583
75% Corpus,2,0.9099999999999999,0.01,0.06442459027695543
75% Corpus,2,0.9099999999999999,0.31,0.06726878272934192
75% Corpus,2,0.9099999999999999,0.61,0.07183731348798364
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.077086044518596
75% Corpus,2,0.9099999999999999,symmetric,0.06468436854132428
75% Corpus,2,symmetric,0.01,0.061918264516816146
75% Corpus,2,symmetric,0.31,0.0726107378453357
75% Corpus,2,symmetric,0.61,0.06797962168227337
75% Corpus,2,symmetric,0.9099999999999999,0.0701807688394399
75% Corpus,2,symmetric,symmetric,0.06523123105664803
75% Corpus,2,asymmetric,0.01,0.11754400778189424
75% Corpus,2,asymmetric,0.31,0.2071023702821393
75% Corpus,2,asymmetric,0.61,0.23398064342695582
75% Corpus,2,asymmetric,0.9099999999999999,0.2695574256629951
75% Corpus,2,asymmetric,symmetric,0.2240731600607001
75% Corpus,3,0.01,0.01,0.08380032666427863
75% Corpus,3,0.01,0.31,0.07828639519554878
75% Corpus,3,0.01,0.61,0.13335655395738236
75% Corpus,3,0.01,0.9099999999999999,0.17159851897300668
75% Corpus,3,0.01,symmetric,0.07738742812984188
75% Corpus,3,0.31,0.01,0.10546852313523199
75% Corpus,3,0.31,0.31,0.09434857205510543
75% Corpus,3,0.31,0.61,0.1358911201976273
75% Corpus,3,0.31,0.9099999999999999,0.16267039259430083
75% Corpus,3,0.31,symmetric,0.08999143879548244
75% Corpus,3,0.61,0.01,0.117336236961816
75% Corpus,3,0.61,0.31,0.10313407696672754
75% Corpus,3,0.61,0.61,0.11213864720484323
75% Corpus,3,0.61,0.9099999999999999,0.10584713611726483
75% Corpus,3,0.61,symmetric,0.09607337191848297
75% Corpus,3,0.9099999999999999,0.01,0.1197858248620595
75% Corpus,3,0.9099999999999999,0.31,0.11135275129143717
75% Corpus,3,0.9099999999999999,0.61,0.11877375900458638
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.12058785843240194
75% Corpus,3,0.9099999999999999,symmetric,0.1209445551573418
75% Corpus,3,symmetric,0.01,0.12137404553699262
75% Corpus,3,symmetric,0.31,0.09464300768423066
75% Corpus,3,symmetric,0.61,0.1272394051850019
75% Corpus,3,symmetric,0.9099999999999999,0.16636748813721502
75% Corpus,3,symmetric,symmetric,0.11734285018754177
75% Corpus,3,asymmetric,0.01,0.10718832825977098
75% Corpus,3,asymmetric,0.31,0.2989782128299649
75% Corpus,3,asymmetric,0.61,0.3568128452408426
75% Corpus,3,asymmetric,0.9099999999999999,0.45380723510923854
75% Corpus,3,asymmetric,symmetric,0.34085295523823245
75% Corpus,4,0.01,0.01,0.11092474388293438
75% Corpus,4,0.01,0.31,0.10057077460227762
75% Corpus,4,0.01,0.61,0.17307384778985554
75% Corpus,4,0.01,0.9099999999999999,0.29739529917444085
75% Corpus,4,0.01,symmetric,0.09544220248095968
75% Corpus,4,0.31,0.01,0.14711639675062604
75% Corpus,4,0.31,0.31,0.1381338573453602
75% Corpus,4,0.31,0.61,0.20148471666279485
75% Corpus,4,0.31,0.9099999999999999,0.2019334536944994
75% Corpus,4,0.31,symmetric,0.13078715021300777
75% Corpus,4,0.61,0.01,0.14787148702368935
75% Corpus,4,0.61,0.31,0.15188622343317698
75% Corpus,4,0.61,0.61,0.1534577030507855
75% Corpus,4,0.61,0.9099999999999999,0.14042806629039623
75% Corpus,4,0.61,symmetric,0.15931483481641343
75% Corpus,4,0.9099999999999999,0.01,0.1482515738418206
75% Corpus,4,0.9099999999999999,0.31,0.13404313182233263
75% Corpus,4,0.9099999999999999,0.61,0.1514875934864525
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.15835657993427532
75% Corpus,4,0.9099999999999999,symmetric,0.14075845985177318
75% Corpus,4,symmetric,0.01,0.13217165349065227
75% Corpus,4,symmetric,0.31,0.13847000256308534
75% Corpus,4,symmetric,0.61,0.22521697070620697
75% Corpus,4,symmetric,0.9099999999999999,0.28303854943227913
75% Corpus,4,symmetric,symmetric,0.11890050945955674
75% Corpus,4,asymmetric,0.01,0.14838544085880617
75% Corpus,4,asymmetric,0.31,0.3883089512178239
75% Corpus,4,asymmetric,0.61,0.4466918136068117
75% Corpus,4,asymmetric,0.9099999999999999,0.4914029640534724
75% Corpus,4,asymmetric,symmetric,0.3421788148015749
75% Corpus,5,0.01,0.01,0.19647530410266284
75% Corpus,5,0.01,0.31,0.17241316828835548
75% Corpus,5,0.01,0.61,0.24443213666532998
75% Corpus,5,0.01,0.9099999999999999,0.27980993267721477
75% Corpus,5,0.01,symmetric,0.16498355882051424
75% Corpus,5,0.31,0.01,0.17605892434283152
75% Corpus,5,0.31,0.31,0.16929358029354702
75% Corpus,5,0.31,0.61,0.19776714370061002
75% Corpus,5,0.31,0.9099999999999999,0.23183585031852316
75% Corpus,5,0.31,symmetric,0.16698351938265993
75% Corpus,5,0.61,0.01,0.17115659496415778
75% Corpus,5,0.61,0.31,0.1906861831165402
75% Corpus,5,0.61,0.61,0.19079762861249233
75% Corpus,5,0.61,0.9099999999999999,0.1940535207163125
75% Corpus,5,0.61,symmetric,0.19477172752840416
75% Corpus,5,0.9099999999999999,0.01,0.17255697365708558
75% Corpus,5,0.9099999999999999,0.31,0.17472995263171495
75% Corpus,5,0.9099999999999999,0.61,0.1787843754493402
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.17403262880819095
75% Corpus,5,0.9099999999999999,symmetric,0.18295099533916742
75% Corpus,5,symmetric,0.01,0.17317855774615412
75% Corpus,5,symmetric,0.31,0.15800408854306017
75% Corpus,5,symmetric,0.61,0.23777012271910514
75% Corpus,5,symmetric,0.9099999999999999,0.2813766157602483
75% Corpus,5,symmetric,symmetric,0.16514429744040432
75% Corpus,5,asymmetric,0.01,0.15822898697925378
75% Corpus,5,asymmetric,0.31,0.42213976492970257
75% Corpus,5,asymmetric,0.61,0.48514172538472905
75% Corpus,5,asymmetric,0.9099999999999999,0.5174511458841469
75% Corpus,5,asymmetric,symmetric,0.3860459167822351
75% Corpus,6,0.01,0.01,0.19300933144955287
75% Corpus,6,0.01,0.31,0.16388377090213724
75% Corpus,6,0.01,0.61,0.2526483055624439
75% Corpus,6,0.01,0.9099999999999999,0.326489541900529
75% Corpus,6,0.01,symmetric,0.16919929034292633
75% Corpus,6,0.31,0.01,0.18477695794513183
75% Corpus,6,0.31,0.31,0.1864422050943434
75% Corpus,6,0.31,0.61,0.20133166938715205
75% Corpus,6,0.31,0.9099999999999999,0.2123455558633244
75% Corpus,6,0.31,symmetric,0.1694426417388095
75% Corpus,6,0.61,0.01,0.20575654100955662
75% Corpus,6,0.61,0.31,0.19948758556680216
75% Corpus,6,0.61,0.61,0.1959661873668618
75% Corpus,6,0.61,0.9099999999999999,0.20417326076216022
75% Corpus,6,0.61,symmetric,0.20351263576892606
75% Corpus,6,0.9099999999999999,0.01,0.1974941543513908
75% Corpus,6,0.9099999999999999,0.31,0.20179239074046207
75% Corpus,6,0.9099999999999999,0.61,0.19486730894263662
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.19670591691764502
75% Corpus,6,0.9099999999999999,symmetric,0.2071752158027632
75% Corpus,6,symmetric,0.01,0.17017985485301668
75% Corpus,6,symmetric,0.31,0.17797500302101676
75% Corpus,6,symmetric,0.61,0.23440271467170315
75% Corpus,6,symmetric,0.9099999999999999,0.29108075167250547
75% Corpus,6,symmetric,symmetric,0.15309975179862378
75% Corpus,6,asymmetric,0.01,0.1622041348855715
75% Corpus,6,asymmetric,0.31,0.4357717438813844
75% Corpus,6,asymmetric,0.61,0.4791547828912912
75% Corpus,6,asymmetric,0.9099999999999999,0.5180278071131879
75% Corpus,6,asymmetric,symmetric,0.35886599307027794
75% Corpus,7,0.01,0.01,0.1876992885112066
75% Corpus,7,0.01,0.31,0.15900604911372856
75% Corpus,7,0.01,0.61,0.29199151331086803
75% Corpus,7,0.01,0.9099999999999999,0.36917638154725185
75% Corpus,7,0.01,symmetric,0.1531053222039471
75% Corpus,7,0.31,0.01,0.19957223741502989
75% Corpus,7,0.31,0.31,0.20216489543204946
75% Corpus,7,0.31,0.61,0.2317519116460873
75% Corpus,7,0.31,0.9099999999999999,0.24641632333485003
75% Corpus,7,0.31,symmetric,0.2070223614992443
75% Corpus,7,0.61,0.01,0.19822686270877993
75% Corpus,7,0.61,0.31,0.18843752517786547
75% Corpus,7,0.61,0.61,0.20152151686246247
75% Corpus,7,0.61,0.9099999999999999,0.2019599796325311
75% Corpus,7,0.61,symmetric,0.18848753793537146
75% Corpus,7,0.9099999999999999,0.01,0.19870088022612187
75% Corpus,7,0.9099999999999999,0.31,0.1995065608770541
75% Corpus,7,0.9099999999999999,0.61,0.19933049926742935
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.19766015744376927
75% Corpus,7,0.9099999999999999,symmetric,0.19874045186646963
75% Corpus,7,symmetric,0.01,0.20223630581759452
75% Corpus,7,symmetric,0.31,0.19329203386227908
75% Corpus,7,symmetric,0.61,0.22125587302603997
75% Corpus,7,symmetric,0.9099999999999999,0.30789726915770704
75% Corpus,7,symmetric,symmetric,0.188049634317459
75% Corpus,7,asymmetric,0.01,0.19920316531877505
75% Corpus,7,asymmetric,0.31,0.4261205495211709
75% Corpus,7,asymmetric,0.61,0.5386819018389213
75% Corpus,7,asymmetric,0.9099999999999999,0.5452930740705417
75% Corpus,7,asymmetric,symmetric,0.3882725498619717
75% Corpus,8,0.01,0.01,0.20775874347198503
75% Corpus,8,0.01,0.31,0.22564169237644888
75% Corpus,8,0.01,0.61,0.376715588748408
75% Corpus,8,0.01,0.9099999999999999,0.45878198314384644
75% Corpus,8,0.01,symmetric,0.2004384237392629
75% Corpus,8,0.31,0.01,0.20528898385670152
75% Corpus,8,0.31,0.31,0.21724586774133944
75% Corpus,8,0.31,0.61,0.23492529862736505
75% Corpus,8,0.31,0.9099999999999999,0.24934566493838103
75% Corpus,8,0.31,symmetric,0.2116684618067307
75% Corpus,8,0.61,0.01,0.19802344098274455
75% Corpus,8,0.61,0.31,0.21003738870876532
75% Corpus,8,0.61,0.61,0.19953714177466791
75% Corpus,8,0.61,0.9099999999999999,0.19768136001423753
75% Corpus,8,0.61,symmetric,0.20166698165461894
75% Corpus,8,0.9099999999999999,0.01,0.19163606639155006
